Linux 4.4.0-72-generic (zenbook) 	10-04-2017 	_x86_64_	(8 CPU)

00:00:01        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:00:01        all      0,00      0,00      0,00      0,00      0,00      0,00
00:02:01        all      5,39      0,14      1,56      0,11      0,00     92,80
00:04:01        all      6,38      0,11      1,49      0,03      0,00     91,99
00:06:01        all      2,96      0,10      1,22      0,03      0,00     95,69
00:08:01        all      3,13      0,10      1,38      0,08      0,00     95,31
00:10:01        all      4,96      0,11      1,42      0,01      0,00     93,50
00:12:01        all      6,66      0,13      1,51      0,01      0,00     91,68
00:14:01        all      6,73      0,12      1,64      0,09      0,00     91,42
00:16:01        all      6,07      0,12      1,62      0,04      0,00     92,15
00:18:01        all      1,56      0,09      1,18      0,01      0,00     97,16
00:20:01        all      1,42      0,10      1,12      0,01      0,00     97,35
00:22:01        all      2,73      0,10      1,32      0,01      0,00     95,84
00:24:01        all      1,48      0,10      1,15      0,01      0,00     97,27
00:26:01        all      1,43      0,10      1,17      0,01      0,00     97,29
00:28:01        all      1,71      0,10      1,26      0,02      0,00     96,91
00:30:01        all      1,48      0,09      1,18      0,01      0,00     97,24
00:32:01        all      1,74      0,11      1,33      0,01      0,00     96,82
00:34:01        all      1,84      0,08      1,27      0,06      0,00     96,75
00:36:01        all      1,49      0,11      1,18      0,01      0,00     97,20
00:38:01        all      2,15      0,10      1,27      0,02      0,00     96,46
00:40:01        all      1,82      0,11      1,20      0,01      0,00     96,85
00:42:01        all      2,98      0,11      1,44      0,55      0,00     94,92
00:44:01        all      4,37      0,13      1,84      1,24      0,00     92,42
Middel:         all      3,20      0,11      1,35      0,11      0,00     95,23
